Designator,Mid X,Mid Y,Rotation,Layer
J1,125.5,-110.0,0.0,top
J10,148.71,-91.75,90.0,top
J11,148.71,-95.5,90.0,top
J12,148.71,-99.25,90.0,top
J13,148.71,-103.0,90.0,top
J14,90.0,-87.49,0.0,top
J15,108.5,-87.53,0.0,top
J16,86.0,-87.49,0.0,top
J17,112.5,-87.53,0.0,top
J18,127.75,-75.52,0.0,top
J19,119.75,-76.75,0.0,top
J2,158.21,-84.25,90.0,top
J20,119.8,-93.15,0.0,top
J21,125.493453,-65.5775,180.0,top
J3,158.21,-88.0,90.0,top
J4,158.21,-91.75,90.0,top
J5,158.21,-95.5,90.0,top
J6,158.21,-99.25,90.0,top
J7,158.21,-103.0,90.0,top
J8,148.71,-84.25,90.0,top
J9,148.71,-88.0,90.0,top
U2,144.25,-82.29,270.0,top
